League,Season,Team,EpisodeID,EpisodeSignal,StartMatch,EndMatch,Length,MeanSignal,PeakSignal
2-Bundesliga,2122,Darmstadt,1.0,negative,6,6,1,-3.217491011893976,-3.217491011893976
2-Bundesliga,2122,Darmstadt,2.0,negative,15,16,2,-4.962632840696002,-8.665628905899757
2-Bundesliga,2122,Darmstadt,3.0,negative,21,21,1,-1.6160082871055153,-1.6160082871055153
2-Bundesliga,2122,Darmstadt,4.0,positive,24,24,1,4.398094739735956,4.398094739735956
2-Bundesliga,2122,Darmstadt,5.0,negative,26,27,2,-1.3090671408309655,-1.328111615380653
2-Bundesliga,2122,Darmstadt,6.0,positive,31,31,1,1.6174250946322977,1.6174250946322977
2-Bundesliga,2122,Dresden,1.0,negative,5,5,1,-3.380407837742484,-3.380407837742484
2-Bundesliga,2122,Dresden,2.0,positive,8,8,1,13.644736740541758,13.644736740541758
2-Bundesliga,2122,Dresden,3.0,negative,12,12,1,-2.594614262651119,-2.594614262651119
2-Bundesliga,2122,Dresden,4.0,positive,14,14,1,4.9273752715623855,4.9273752715623855
2-Bundesliga,2122,Dresden,5.0,negative,18,18,1,-1.4209278120792421,-1.4209278120792421
2-Bundesliga,2122,Dresden,6.0,positive,27,27,1,1.5797838095337606,1.5797838095337606
2-Bundesliga,2122,Dresden,7.0,negative,28,29,2,-2.295157306256925,-3.0939894674304536
2-Bundesliga,2122,Dresden,8.0,positive,31,31,1,4.901204401631694,4.901204401631694
2-Bundesliga,2122,Dresden,9.0,negative,34,34,1,-4.3665353432175165,-4.3665353432175165
2-Bundesliga,2122,Erzgebirge Aue,1.0,negative,4,4,1,-8.348413737946144,-8.348413737946144
2-Bundesliga,2122,Erzgebirge Aue,2.0,positive,8,9,2,5.325696366593991,9.352033179969972
2-Bundesliga,2122,Erzgebirge Aue,3.0,positive,11,11,1,3.274580431143094,3.274580431143094
2-Bundesliga,2122,Erzgebirge Aue,4.0,positive,13,13,1,1.4089865452595731,1.4089865452595731
2-Bundesliga,2122,Erzgebirge Aue,5.0,negative,15,15,1,-2.4367534537588513,-2.4367534537588513
2-Bundesliga,2122,Erzgebirge Aue,6.0,positive,19,19,1,3.5432878269966412,3.5432878269966412
2-Bundesliga,2122,Erzgebirge Aue,7.0,positive,23,25,3,3.203930588667484,4.776024597568149
2-Bundesliga,2122,Erzgebirge Aue,8.0,negative,26,26,1,-1.4310160724567773,-1.4310160724567773
2-Bundesliga,2122,Erzgebirge Aue,9.0,positive,30,30,1,8.103545187110184,8.103545187110184
2-Bundesliga,2122,Erzgebirge Aue,10.0,positive,34,34,1,11.796326731141095,11.796326731141095
2-Bundesliga,2122,Fortuna Dusseldorf,1.0,positive,6,6,1,8.837803332464324,8.837803332464324
2-Bundesliga,2122,Fortuna Dusseldorf,2.0,negative,9,9,1,-1.7753481974935574,-1.7753481974935574
2-Bundesliga,2122,Fortuna Dusseldorf,3.0,positive,16,16,1,7.1432268761024345,7.1432268761024345
2-Bundesliga,2122,Fortuna Dusseldorf,4.0,positive,22,22,1,8.664849387019338,8.664849387019338
2-Bundesliga,2122,Fortuna Dusseldorf,5.0,positive,29,29,1,5.195135734110351,5.195135734110351
2-Bundesliga,2122,Fortuna Dusseldorf,6.0,positive,32,32,1,1.6604455464386225,1.6604455464386225
2-Bundesliga,2122,Fortuna Dusseldorf,7.0,negative,34,34,1,-1.3560643714246767,-1.3560643714246767
